# time	pop_1	pop_2	pop_3
210.0	0.3326782669307993	0.5137919499895397	0.15352978307966264
215.0	0.332368799458141	0.5101121130768117	0.15751908746504883
220.0	0.33277853191078793	0.5057495727595411	0.16147189532967257
225.0	0.33367128610650676	0.5009338997390194	0.16539481415447604
230.0	0.33480364358398673	0.49590256972507013	0.1692937866909456
235.0	0.3359409642680959	0.4908849954874376	0.173174040244469
240.0	0.33687129914873415	0.48608867902000646	0.17704002183126183
245.0	0.33741661285799374	0.48168807342728565	0.1808953137147232
250.0	0.33744093399946934	0.47781653062727386	0.1847425353732595
255.0	0.336855251245597	0.4745615021198238	0.1885832466345822
260.0	0.33561916378895246	0.4719629646746077	0.1924178715364428
265.0	0.33373946933857745	0.47001486755191035	0.1962456631095149
270.0	0.33126602594846094	0.4686692480660177	0.20006472598552408
275.0	0.32828535036886053	0.46784254236201056	0.20387210726913155
280.0	0.324912510395102	0.4674235319968479	0.20766395760805267
285.0	0.3212819275588186	0.4672823172272563	0.21143575521392755
290.0	0.3175377265766589	0.4672796962822529	0.21518257714109099
295.0	0.31382424866149866	0.4672763556427796	0.2188993956957243
300.0	0.3102772895033431	0.46714133612527003	0.22258137437138936
305.0	0.3070165349359523	0.46675932740050885	0.22622413766354105
310.0	0.3041395560978006	0.4660364514678623	0.22982399243433926
315.0	0.30171760087754923	0.4649043145393998	0.23337808458305315
320.0	0.29979328944629874	0.4633222279354864	0.23688448261821707
325.0	0.2983801976226472	0.4612776142837273	0.24034218809362767
330.0	0.297464199868037	0.45878471960291867	0.24375108052904637
335.0	0.2970063490369719	0.45588184059591946	0.24711181036711066
340.0	0.296946995921263	0.452627347010343	0.2504256570683961
345.0	0.2972107999843554	0.4490948296064063	0.2536943704092404
350.0	0.29771225430561005	0.4453677340497846	0.25692001164460715
355.0	0.29836134272368026	0.4415338492840951	0.2601048079922263
360.0	0.2990689648798223	0.43768000547764685	0.2632510296425326
365.0	0.29975180389961	0.4338873021018761	0.26636089399851565
370.0	0.3003363693535574	0.4302271328511048	0.26943649779533946
375.0	0.30076202119865547	0.4267582041673785	0.2724797746339679
380.0	0.3009828636370855	0.4235246628340594	0.2754924735288571
385.0	0.300968485171792	0.4205553615125094	0.2784761533157006
390.0	0.3007036059149624	0.4178642060914093	0.2814321879936306
395.0	0.3001867687883385	0.41545145224443636	0.2843617789672276
400.0	0.2994282718058529	0.4133057568477989	0.2872659713463507
405.0	0.2984475797666349	0.41140674760599005	0.2901456726273776
410.0	0.2972704729460161	0.4097278540800979	0.29300167297388885
415.0	0.295926187394656	0.4082391457993438	0.29583466680600307
420.0	0.2944447778913252	0.40690994663157476	0.2986452754771029
425.0	0.29285489378226987	0.40571103567610756	0.3014340705416256
430.0	0.29118210445132764	0.4046162989095255	0.30420159663914975
435.0	0.2894478503008965	0.40360375719178937	0.30694839250731704
440.0	0.28766903242743636	0.40265595932075976	0.30967500825180666
445.0	0.2858581949971539	0.40175978812907626	0.3123820168737724
450.0	0.2840242034553183	0.40090577828607876	0.3150700182586053
455.0	0.28217328305043077	0.4000870825727006	0.3177396343768714
460.0	0.2803102585084535	0.3992982462025428	0.3203914952890066
465.0	0.27843982851111515	0.39853395491219384	0.3230262165766941
470.0	0.2765677179121642	0.3977879121827541	0.3256443699050845
475.0	0.27470157485586666	0.3970519757505548	0.3282464493935813
480.0	0.2728515162076268	0.39631564660437624	0.3308328371879998
485.0	0.2710302688504489	0.3955659591865777	0.3334037719629762
490.0	0.2692529015603426	0.394787774469225	0.33595932397043526
495.0	0.26753618725826445	0.39396443306024864	0.3384993796814899
500.0	0.2658976737679849	0.393078688125146	0.3410236381068719
